# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 19 00:58:54 2017
#
# COLUMN UserName:       User Name
# COLUMN PlanetName:     Planet Name
# COLUMN SourceTable:    Source Table
# COLUMN RA_sex:         RA [sexagesimal]
# COLUMN Dec_sex:        Dec [sexagesimal]
# COLUMN Phase:          Phase
# COLUMN Period:         Period [days]
# COLUMN TransitDuration: Transit Duration [hours]
# COLUMN TTV:            TTV flag
# COLUMN Algorithm:      Algorithm
# COLUMN PropMidpointUnc: Propagated Midpoint Uncertainty [days]
# COLUMN MidpointCalendar: Event Midpoint Calendar UT
# COLUMN MidpointJD:     Event Midpoint Calendar UT
# COLUMN MidpointAirmass: Event Midpoint Airmass
#
rowid,UserName,PlanetName,SourceTable,RA_sex,Dec_sex,Phase,Period,TransitDuration,TTV,Algorithm,PropMidpointUnc,MidpointCalendar,MidpointJD,MidpointAirmass
1,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,12/21/2017 16:36,2458109.19168,1.07
2,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,12/30/2017 17:54,2458118.24594,1.06
3,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,01/01/2018 13:21,2458120.05680,1.57
4,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,01/08/2018 19:12,2458127.30021,1.28
5,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,01/10/2018 14:39,2458129.11107,1.13
6,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,01/17/2018 20:30,2458136.35448,2.13
7,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,01/19/2018 15:58,2458138.16533,1.04
8,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,01/21/2018 11:25,2458139.97619,1.90
9,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,01/28/2018 17:16,2458147.21960,1.17
10,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,01/30/2018 12:43,2458149.03046,1.22
11,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,02/06/2018 18:34,2458156.27387,1.71
12,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,02/08/2018 14:02,2458158.08472,1.04
13,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,02/10/2018 09:29,2458159.89558,2.44
14,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,02/17/2018 15:20,2458167.13899,1.10
15,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,02/19/2018 10:47,2458168.94984,1.36
16,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,02/26/2018 16:38,2458176.19326,1.46
17,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,02/28/2018 12:05,2458178.00411,1.07
18,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,03/09/2018 13:24,2458187.05838,1.06
19,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,03/18/2018 14:42,2458196.11265,1.29
20,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,03/20/2018 10:09,2458197.92350,1.13
21,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,03/27/2018 16:00,2458205.16692,2.15
22,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,03/29/2018 11:27,2458206.97777,1.04
23,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,04/07/2018 12:46,2458216.03204,1.17
24,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,04/16/2018 14:04,2458225.08631,1.72
25,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,04/27/2018 10:50,2458235.95143,1.10
26,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,05/06/2018 12:08,2458245.00570,1.46
27,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,06/04/2018 11:30,2458273.97935,2.16
