# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Dec 18 21:45:54 2017
#
# COLUMN UserName:       User Name
# COLUMN SourceTable:    Source Table
# COLUMN Phase:          Phase
# COLUMN Period:         Period [days]
# COLUMN TransitDuration: Transit Duration [hours]
# COLUMN TTV:            TTV flag
# COLUMN Algorithm:      Algorithm
# COLUMN PropMidpointUnc: Propagated Midpoint Uncertainty [days]
# COLUMN MidpointCalendar: Event Midpoint Calendar UT
# COLUMN MidpointJD:     Event Midpoint Calendar UT
# COLUMN MidpointAirmass: Event Midpoint Airmass
#
rowid,UserName,SourceTable,Phase,Period,TransitDuration,TTV,Algorithm,PropMidpointUnc,MidpointCalendar,MidpointJD,MidpointAirmass
1,,,0.00,30.956763000,,,Transit Midpoint,0.000000,01/19/2018 14:36,2458138.10842,1.09
2,,,0.00,30.956763000,,,Transit Midpoint,0.000000,02/19/2018 13:33,2458169.06518,1.03
3,,,0.00,30.956763000,,,Transit Midpoint,0.000000,03/22/2018 12:31,2458200.02194,1.03
4,,,0.00,30.956763000,,,Transit Midpoint,0.000000,04/22/2018 11:29,2458230.97871,1.09
