,flux
2245.47326755,30309490.0668
2245.49369959,30310848.1344
2245.51413173,30310702.0796
2245.53456368,30310287.7086
2245.55499572,30309062.7705
2245.57542786,30309374.4507
2245.5958598,30309319.9762
2245.61629184,30306047.5588
2245.63672398,30302998.2192
2245.65715602,30297648.1564
2245.67758806,30298230.7705
2245.6980201,30303927.7732
2245.71845214,30306726.382
2245.73888428,30306621.3628
2245.75931622,30306151.559
2245.77974826,30306677.7229
2245.80018039,30308208.5184
2245.82061233,30309275.3078
2245.84104436,30312051.8747
2245.8614765,30313832.4093
2245.88190843,30314446.8297
2245.90234047,30315292.2989
2245.9227726,30314005.9744
2245.94320454,30315667.3245
2245.96363657,30317271.6886
2245.9840686,30318023.1809
2246.00450063,30318651.8114
2246.02493267,30319475.1637
2246.0453647,30323225.4207
2246.06579673,30327223.8338
2246.08622876,30328340.5051
2246.10666089,30327250.586
2246.12709282,30327764.4357
2246.14752485,30324617.577
2246.16795697,30318755.8521
2246.1883889,30315457.3895
2246.20882093,30316631.8816
2246.22925306,30318807.6305
2246.24968498,30323823.9661
2246.27011701,30322026.009
2246.29054913,30320104.8988
2246.31098106,30318160.6304
2246.33141318,30317404.857
2246.35184521,30317628.8456
2246.37227713,30322345.6428
2246.39270926,
2246.41314128,30311881.5297
2246.4335732,30305970.7111
2246.45400532,30300936.1273
2246.47443734,30300284.1275
2246.49486936,30301576.1761
2246.51530138,30303877.6926
2246.5357334,30308057.2653
2246.55616542,30313076.7779
2246.57659754,30318759.8847
2246.59702946,30322940.4791
2246.61746148,30322634.9384
2246.6378936,30328931.0428
2246.65832551,30330810.7514
2246.67875753,30332428.5824
2246.69918965,30333360.4394
2246.71962156,30330396.2587
2246.74005358,30330240.9792
2246.76048559,30334327.4236
2246.78091761,30333070.3784
2246.80134952,30325960.1833
2246.82178163,30322696.5171
2246.84221365,30325155.1524
2246.86264566,30320352.5417
2246.88307767,30321828.1564
2246.90350968,30320537.075
2246.9239417,30317957.4721
2246.94437381,30316648.7099
2246.96480572,30317700.8876
2246.98523783,30320598.0472
2247.00566983,30323013.2681
2247.02610174,30324629.1136
2247.04653385,30325171.1748
2247.06696586,30331309.0026
2247.08739777,30332281.3784
2247.10782987,30332449.5942
2247.12826188,30333618.1849
2247.14869379,30336524.0647
2247.16912589,30327579.0952
2247.1895579,30326401.5551
2247.2099898,30327790.7348
2247.23042191,30324241.9173
2247.25085391,30320712.7904
2247.27128581,30322568.8105
2247.29171792,30324919.1951
2247.31214992,30324821.652
2247.33258192,30327333.3692
2247.35301392,30334188.0336
2247.37344592,30319959.6454
2247.39387792,30317830.1544
2247.41431002,30318972.5177
2247.43474192,30326272.0348
2247.45517392,30330760.6084
2247.47560592,30332280.6519
2247.49603792,30336159.1606
2247.51646982,30335749.5947
2247.53690191,30333761.1213
2247.55733391,30340651.6013
2247.57776601,30337015.649
2247.5981979,30347981.6924
2247.6186299,30339663.512
2247.63906199,30337906.4593
2247.65949389,30340402.4489
2247.67992588,30341902.1254
2247.70035798,30341033.1001
2247.72078987,30336292.9084
2247.74122186,30339946.3221
2247.76165396,30344662.5541
2247.78208595,30340314.2655
2247.80251784,30339257.1399
2247.82294993,30340550.7019
2247.84338192,30341399.4978
2247.86381381,30339392.6876
2247.8842459,30338444.6199
2247.90467789,30335881.7873
2247.92510978,30337087.5098
2247.94554187,30338529.846
2247.96597385,30339479.3064
2247.98640574,30339698.6573
2248.00683783,30337271.0172
2248.02726982,30339152.5906
2248.0477017,30342044.3808
2248.06813379,30347813.9535
2248.08856577,30345267.262
2248.10899766,30346567.9449
2248.12942974,30350926.5522
2248.14986173,30352567.0013
2248.17029371,30347093.5325
2248.19072569,30342976.2278
2248.21115767,30342720.2173
2248.23158966,30344663.9665
2248.25202164,30343905.3989
2248.27245362,30344656.5674
2248.2928856,30342873.5609
2248.31331758,30347073.0625
2248.33374956,30354779.2318
2248.35418164,
2248.37461352,30344408.8702
2248.3950455,30341766.9284
2248.41547757,30339106.5295
2248.43590945,30334982.8998
2248.45634143,30332620.1114
2248.47677351,30338981.8451
2248.49720538,30342300.2125
2248.51763736,30346208.0686
2248.53806943,30349040.8228
2248.55850131,30352534.6968
2248.57893328,30352079.6837
2248.59936536,30355798.1482
2248.61979733,30358871.5418
2248.6402292,30361785.9859
2248.66066128,30359932.731
2248.68109325,30358320.0403
2248.70152512,30354835.097
2248.72195719,30355591.7214
2248.74238916,30356621.4102
2248.76282103,30357686.5707
2248.7832531,30360982.4995
2248.80368507,30365520.9295
2248.82411714,30358652.3852
2248.84454901,30354145.1044
2248.86498098,30350647.4746
2248.88541295,30350322.8092
2248.90584491,30347957.214
2248.92627688,30348455.9157
2248.94670885,30350897.505
2248.96714081,30351608.1052
2248.98757278,30352477.2165
2249.00800474,30351938.6295
2249.02843671,30352507.4545
2249.04886867,30353456.179
2249.06930064,30352271.39
2249.0897326,30347846.3925
2249.11016456,30344954.6682
2249.13059653,30343832.9955
2249.15102849,30344832.1892
2249.17146045,30343321.218
2249.19189251,30347771.1927
2249.21232437,30347524.5549
2249.23275633,30347789.3376
2249.25318839,30351325.8656
2249.27362025,30355036.1
2249.29405221,30356398.0205
2249.31448427,30363141.198
2249.33491613,30362955.655
2249.35534808,30364535.4954
2249.37578014,30364776.2184
2249.396212,30360833.8858
2249.41664406,30363009.269
2249.43707601,30365000.5213
