,pl_hostname,st_optmag,pl_radj,pl_bmassj,pl_def_refname,pl_disc_refname,pl_pelink
196,Kepler-58,14.82,0.248,1.39,Steffen et al. 2013,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-58_b/
197,Kepler-58,14.82,0.255,2.19,Steffen et al. 2013,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-58_c/
2461,KOI-1257,14.867,0.94,1.45,Santerne et al. 2014,Santerne et al. 2014,http://exoplanet.eu/catalog/kepler-420_a_b/
216,KOI-55,14.87,0.077,0.0021,Charpinet et al. 2011,Charpinet et al. 2011,http://exoplanet.eu/catalog/kepler-70_c/
215,KOI-55,14.87,0.068,0.0014,Charpinet et al. 2011,Charpinet et al. 2011,http://exoplanet.eu/catalog/kepler-70__b/
3277,Kepler-34,14.875,0.764,0.22,Welsh et al. 2012,Welsh et al. 2012,http://exoplanet.eu/catalog/kepler-34_%28ab%29__b/
99,Kepler-24,14.925,0.214,1.6,Ford et al. 2012,Ford et al. 2012,http://exoplanet.eu/catalog/kepler-24_b/
100,Kepler-24,14.925,0.25,1.6,Ford et al. 2012,Ford et al. 2012,http://exoplanet.eu/catalog/kepler-24_c/
1757,OGLE-TR-10,14.93,1.25,0.62,Torres et al. 2008,Konacki et al. 2005,http://exoplanet.eu/catalog/ogle-tr-10_b/
2750,Kepler-177,15,0.259,0.006,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-177_b/
1276,Kepler-177,15,0.633,0.024,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-177_c/
1333,CoRoT-18,15,1.31,3.47,Hebrard et al. 2011,Hebrard et al. 2011,http://exoplanet.eu/catalog/corot-18_b/
2952,Kepler-28,15.036,0.321,1.51,Steffen et al. 2012,Steffen et al. 2012,http://exoplanet.eu/catalog/kepler-28_b/
108,Kepler-28,15.036,0.303,1.36,Steffen et al. 2012,Steffen et al. 2012,http://exoplanet.eu/catalog/kepler-28_c/
1330,CoRoT-13,15.039,0.885,1.308,Cabrera et al. 2010,Cabrera et al. 2010,http://exoplanet.eu/catalog/corot-13_b/
1793,Kepler-238,15.084,0.178,0.042,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-238_f/
1792,Kepler-238,15.084,0.5,0.534,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-238_e/
183,Kepler-52,15.095,0.164,10.41,Steffen et al. 2013,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-52_c/
1723,Kepler-52,15.095,0.187,8.7,Steffen et al. 2013,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-52_b/
1148,GJ 1214,15.1,0.254,0.0197,Harps&oslashe et al. 2013,Charbonneau et al. 2009,http://exoplanet.eu/catalog/gj_1214_b/
33,HATS-6,15.16,0.998,0.319,Hartman et al. 2015,Hartman et al. 2015,http://exoplanet.eu/catalog/hats-6_b/
172,Kepler-47,15.178,0.27,2,Orosz et al. 2012,Orosz et al. 2012,http://exoplanet.eu/catalog/kepler-47_%28ab%29_b/
173,Kepler-47,15.178,0.411,28,Orosz et al. 2012,Orosz et al. 2012,http://exoplanet.eu/catalog/kepler-47_%28ab%29_c/
1880,Kepler-282,15.204,0.219,0.192,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-282_d/
2954,Kepler-282,15.204,0.277,0.177,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-282_e/
1328,CoRoT-10,15.22,0.97,2.75,Bonomo et al. 2010,Bonomo et al. 2010,http://exoplanet.eu/catalog/corot-10_b/
3043,Kepler-31,15.237,0.348,6.8,Fabrycky et al. 2012,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-31_d/
114,Kepler-31,15.237,0.473,4.7,Fabrycky et al. 2012,Fabrycky et al. 2012,http://exoplanet.eu/catalog/kepler-31_c/
170,Kepler-46,15.262,0.808,6,Nesvorny et al. 2012,Nesvorny et al. 2012,http://exoplanet.eu/catalog/kepler-46_b/
274,Kepler-75,15.264,1.05,10.1,Bonomo et al. 2015,Hebrard et al. 2013,http://exoplanet.eu/catalog/kepler-75_b/
176,Kepler-49,15.264,0.243,0.98,Steffen et al. 2013,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-49_b/
1721,Kepler-49,15.264,0.227,0.72,Steffen et al. 2013,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-49_c/
110,Kepler-29,15.282,0.28,0.01259,Jontof-Hutter et al. 2016,Fabrycky et al. 2012,http://exoplanet.eu/catalog/kepler-29_c/
109,Kepler-29,15.282,0.299,0.01419,Jontof-Hutter et al. 2016,Fabrycky et al. 2012,http://exoplanet.eu/catalog/kepler-29_b/
1984,OGLE-TR-056,15.3,1.363,1.39,Torres et al. 2008,Konacki et al. 2003,http://exoplanet.eu/catalog/ogle-tr-56_b/
1030,Kepler-223,15.344,0.41,0.0151,Mills et al. 2016,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-223_e/
1029,Kepler-223,15.344,0.307,0.01605,Mills et al. 2016,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-223_c/
