,pl_hostname,st_optmag,pl_radj,pl_bmassj,pl_def_refname,pl_disc_refname,pl_pelink
134,HAT-P-7,10.463,1.491,1.682,Wong et al. 2016,Pal et al. 2008,http://exoplanet.eu/catalog/hat-p-7_b/
351,HAT-P-57,10.465,1.413,1.85,Hartman et al. 2015,Hartman et al. 2015,http://exoplanet.eu/catalog/hat-p-57_b/
2048,WASP-3,10.5,1.4,1.98,Rostron et al. 2014,Pollacco et al. 2008,http://exoplanet.eu/catalog/wasp-3_b/
1781,WASP-73,10.5,1.16,1.88,Delrez et al. 2014,Delrez et al. 2014,http://exoplanet.eu/catalog/wasp-73_b/
1240,HAT-P-17,10.54,1.01,0.534,Howard et al. 2012,Howard et al. 2012,http://exoplanet.eu/catalog/hat-p-17_b/
2127,WASP-71,10.56,1.46,2.242,Smith et al. 2013,Smith et al. 2013,http://exoplanet.eu/catalog/wasp-71_b/
3488,KELT-12,10.59,1.78,0.95,Stevens et al. 2017,Stevens et al. 2017,http://exoplanet.eu/catalog/wasp-86_b/
1236,HAT-P-13,10.622,1.272,0.851,Winn et al. 2010,Bakos et al. 2009,http://exoplanet.eu/catalog/hat-p-13_b/
1133,GJ 436,10.67,0.372,0.07,Maciejewski et al. 2014,Butler et al. 2004,http://exoplanet.eu/catalog/gj_436_b/
1787,XO-4,10.674,1.33,1.78,Narita et al. 2010,McCullogh et al. 2008,http://exoplanet.eu/catalog/xo-4_b/
2062,WASP-20,10.68,1.462,0.311,Anderson et al. 2015,Anderson et al. 2015,http://exoplanet.eu/catalog/wasp-20_b/
2125,WASP-68,10.7,1.24,0.95,Delrez et al. 2014,Delrez et al. 2014,http://exoplanet.eu/catalog/wasp-68_b/
2577,KELT-1,10.701,1.11,27.23,Siverd et al. 2012,Siverd et al. 2012,http://exoplanet.eu/catalog/kelt-1_b/
3188,WASP-85 A,10.72,1.24,1.265,Mocnik et al. 2016,Mocnik et al. 2016,http://exoplanet.eu/catalog/wasp-85_b/
102,Kepler-25,10.734,0.242,0.0302,Marcy et al. 2014,Steffen et al. 2012,http://exoplanet.eu/catalog/kepler-25_b/
103,Kepler-25,10.734,0.464,0.0774,Marcy et al. 2014,Steffen et al. 2012,http://exoplanet.eu/catalog/kepler-25_c/
2967,WASP-70 A,10.79,1.164,0.59,Anderson et al. 2014,Anderson et al. 2014,http://exoplanet.eu/catalog/wasp-70a_b/
3215,WASP-126,10.8,0.96,0.28,Maxted et al. 2016,Maxted et al. 2016,http://exoplanet.eu/catalog/wasp-126_b/
1239,HAT-P-16,10.812,1.289,4.193,Buchhave et al. 2010,Buchhave et al. 2010,http://exoplanet.eu/catalog/hat-p-16_b/
2499,K2-39,10.83,0.509,0.12522,Petigura et al. 2017,Van Eylen et al. 2016,http://exoplanet.eu/catalog/k2-39_b/
3216,WASP-84,10.83,0.942,0.694,Anderson et al. 2014,Anderson et al. 2014,http://exoplanet.eu/catalog/wasp-84_b/
2866,KELT-8,10.833,1.86,0.867,Fulton et al. 2015,Fulton et al. 2015,http://exoplanet.eu/catalog/kelt-8_b/
600,KELT-10,10.854,1.399,0.679,Kuhn et al. 2015,Kuhn et al. 2015,http://exoplanet.eu/catalog/kelt-10_b/
2128,WASP-72,10.88,1.27,1.5461,Gillon et al. 2013,Gillon et al. 2013,http://exoplanet.eu/catalog/wasp-72_b/
2268,HAT-P-56,10.908,1.466,2.18,Huang et al. 2015,Huang et al. 2015,http://exoplanet.eu/catalog/hat-p-56_b/
142,Kepler-10,10.94,0.21,0.054,Dumusque et al. 2014,Fressin et al. 2011,http://exoplanet.eu/catalog/kepler-10_c/
1666,Kepler-10,10.94,0.132,0.0145,Esteves et al. 2015,Batahla et al. 2011,http://exoplanet.eu/catalog/kepler-10_b/
3402,WASP-93,10.97,1.597,1.47,Hay et al. 2016,Hay et al. 2016,http://exoplanet.eu/catalog/wasp-92_b/
2500,WASP-120,11,1.473,4.85,Turner et al. 2016,Turner et al. 2016,http://exoplanet.eu/catalog/wasp-120_b/
1015,KELT-14,11,1.743,1.284,Turner et al. 2016,Rodriguez et al. 2016,http://exoplanet.eu/catalog/wasp-122_b/
2058,WASP-15,11,1.428,0.542,West et al. 2009,West et al. 2009,http://exoplanet.eu/catalog/wasp-15_b/
2072,WASP-35,11.01,1.32,0.72,Enoch et al. 2011,Enoch et al. 2011,http://exoplanet.eu/catalog/wasp-35_b/
3403,WASP-118,11.02,1.44,0.514,Hay et al. 2016,Hay et al. 2016,http://exoplanet.eu/catalog/wasp-92_b/
2428,BD+20 594,11.038,0.199,0.05129,Espinoza et al. 2016,Espinoza et al. 2016,http://exoplanet.eu/catalog/bd%2B20_594_b/
3313,WASP-140,11.1,1.44,2.44,Hellier et al. 2016,Hellier et al. 2016,http://exoplanet.eu/catalog/wasp-140_b/
3309,WASP-130,11.1,0.89,1.23,Hellier et al. 2016,Hellier et al. 2016,http://exoplanet.eu/catalog/wasp-130_b/
2501,WASP-123,11.1,1.318,0.899,Turner et al. 2016,Turner et al. 2016,http://exoplanet.eu/catalog/wasp-123_b/
2363,HAT-P-4,11.118,1.274,0.671,Torres et al. 2008,Kovacs et al. 2007,http://exoplanet.eu/catalog/hat-p-4_b/
2194,WASP-104,11.12,1.137,1.272,Smith et al. 2014,Smith et al. 2014,http://exoplanet.eu/catalog/wasp-104_b/
2201,XO-2 N,11.138,1.019,0.597,Damasso et al. 2015,Burke et al. 2007,http://exoplanet.eu/catalog/xo-2n_b/
3408,K2-99,11.149,1.29,0.97,Smith et al. 2016,Smith et al. 2016,http://exoplanet.eu/catalog/k2-99_b/
1415,HAT-P-33,11.188,1.686,0.762,Hartman et al. 2011,Hartman et al. 2011,http://exoplanet.eu/catalog/hat-p-33_b/
1016,KELT-15,11.189,1.443,0.91,Rodriguez et al. 2016,Rodriguez et al. 2016,http://exoplanet.eu/catalog/kelt-15_b/
2200,XO-1,11.19,1.21,0.92,Burke et al. 2010,McCullough et al. 2006,http://exoplanet.eu/catalog/xo-1_b/
1667,Kepler-100,11.197,0.118,0.023,Marcy et al. 2014,Marcy et al. 2014,http://exoplanet.eu/catalog/kepler-100_b/
2121,WASP-63,11.2,1.43,0.38,Hellier et al. 2012,Hellier et al. 2012,http://exoplanet.eu/catalog/wasp-63_b/
2195,WASP-106,11.21,1.085,1.925,Smith et al. 2014,Smith et al. 2014,http://exoplanet.eu/catalog/wasp-106_b/
2070,WASP-32,11.3,1.18,3.6,Maxted et al. 2010,Maxted et al. 2010,http://exoplanet.eu/catalog/wasp-32_b/
1769,WASP-24,11.306,1.3,1.071,Street et al. 2010,Street et al. 2010,http://exoplanet.eu/catalog/wasp-24_b/
2880,HAT-P-20,11.339,0.867,7.246,Bakos et al. 2010,Bakos et al. 2010,http://exoplanet.eu/catalog/hat-p-20_b/
1775,WASP-49,11.36,1.115,0.378,Lendl et al. 2012,Lendl et al. 2012,http://exoplanet.eu/catalog/wasp-49_b/
1687,Kepler-128,11.39,0.101,0.105,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-128_c/
1517,Kepler-128,11.39,0.101,0.097,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-128_b/
2185,WASP-88,11.4,1.7,0.56,Delrez et al. 2014,Delrez et al. 2014,http://exoplanet.eu/catalog/wasp-88_b/
133,TrES-2,11.411,1.247,1.197,Esteves et al. 2015,O'Donovan et al. 2006,http://exoplanet.eu/catalog/tres-2_/
2181,WASP-75,11.45,1.27,1.07,Gomez et al. 2013,Gomez et al. 2013,http://exoplanet.eu/catalog/wasp-75_b/
2116,WASP-56,11.484,1.092,0.571,Faedi et al. 2013,Faedi et al. 2013,http://exoplanet.eu/catalog/wasp-56_b/
1669,Kepler-102,11.492,0.105,0.012,Marcy et al. 2014,Marcy et al. 2014,http://exoplanet.eu/catalog/kepler-102_d/
259,Kepler-102,11.492,0.198,0.028,Marcy et al. 2014,Wang et al. 2014,http://exoplanet.eu/catalog/kepler-102_e/
1689,Kepler-131,11.525,0.075,0.026,Marcy et al. 2014,Marcy et al. 2014,http://exoplanet.eu/catalog/kepler-131_c/
1522,Kepler-131,11.525,0.215,0.051,Marcy et al. 2014,Marcy et al. 2014,http://exoplanet.eu/catalog/kepler-131_b/
986,K2-34,11.548,1.35,1.76,Lillo-Box et al. 2016,Hirano et al. 2016,http://exoplanet.eu/catalog/k2-34_b/
276,Kepler-78,11.551,0.105,0.006,Pepe et al. 2013,Sanchis-Ojeda et al. 2013,http://exoplanet.eu/catalog/kepler-78_b/
248,Kepler-92,11.565,0.313,0.202,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-92_b/
1743,Kepler-92,11.565,0.232,0.019,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-92_c/
406,Kepler-454,11.57,0.211,0.02152,Gettel et al. 2015,Gettel et al. 2015,http://exoplanet.eu/catalog/kepler-454_b/
1230,HAT-P-3,11.577,0.827,0.591,Chan et al. 2011,Torres et al. 2007,http://exoplanet.eu/catalog/hat-p-3_b/
2063,WASP-21,11.58,1.07,0.3,Bouchy et al. 2010,Bouchy et al. 2010,http://exoplanet.eu/catalog/wasp-21_b/
2003,TrES-4,11.592,1.838,0.494,Sozzetti et al. 2015,Mandushev et al. 2007,http://exoplanet.eu/catalog/tres-4_/
2113,WASP-50,11.6,1.153,1.468,Gillon et al. 2011,Gillon et al. 2011,http://exoplanet.eu/catalog/wasp-50_b/
2059,WASP-17,11.6,1.991,0.486,Anderson et al. 2011,Anderson et al. 2010,http://exoplanet.eu/catalog/wasp-17_b/
1773,WASP-41,11.6,1.18,0.94,Neveu-VanMalle et al. 2015,Maxted et al. 2011,http://exoplanet.eu/catalog/wasp-41_b/
2055,WASP-11,11.6,1.005,0.487,Bakos et al. 2009,West et al. 2009,http://exoplanet.eu/catalog/wasp-11-hat-p-10_b/
1779,WASP-66,11.6,1.39,2.32,Hellier et al. 2012,Hellier et al. 2012,http://exoplanet.eu/catalog/wasp-66_b/
2118,WASP-58,11.66,1.37,0.89,Hebrard et al. 2013,Hebrard et al. 2013,http://exoplanet.eu/catalog/wasp-58_b/
1413,HAT-P-31,11.66,1.07,2.171,Kipping et al. 2011,Kipping et al. 2011,http://exoplanet.eu/catalog/hat-p-31_b/
96,Kepler-22,11.664,0.212,0.113,Borucki et al. 2012,Borucki et al. 2012,http://exoplanet.eu/catalog/kepler-22_b/
1251,CoRoT-7,11.668,0.141,0.018,Barros et al. 2014,Leger et al. 2009,http://exoplanet.eu/catalog/corot-7_b/
1343,HAT-P-21,11.685,1.024,4.063,Bakos et al. 2010,Bakos et al. 2010,http://exoplanet.eu/catalog/hat-p-21_b/
1766,WASP-12,11.69,1.9,1.47,Collins et al. 2016,Hebb et al. 2009,http://exoplanet.eu/catalog/wasp-12_b/
1556,HAT-P-40,11.699,1.73,0.615,Hartman et al. 2012,Hartman et al. 2012,http://exoplanet.eu/catalog/hat-p-40_b/
2069,WASP-31,11.7,1.549,0.478,Anderson et al. 2011,Anderson et al. 2011,http://exoplanet.eu/catalog/wasp-31_b/
474,WASP-90,11.7,1.63,0.63,West et al. 2016,West et al. 2016,http://exoplanet.eu/catalog/wasp-90_b/
2112,WASP-48,11.72,1.396,0.907,Ciceri et al. 2015,Enoch et al. 2011,http://exoplanet.eu/catalog/wasp-48_b/
1348,HAT-P-26,11.744,0.565,0.059,Hartman et al. 2010,Hartman et al. 2010,http://exoplanet.eu/catalog/hat-p-26_b/
3405,K2-105,11.752,0.369,0.09439,Narita et al. 2017,Narita et al. 2017,http://exoplanet.eu/catalog/k2-105_b/
2001,TrES-1,11.76,1.067,0.752,Torres et al. 2008,Alonso et al. 2004,http://exoplanet.eu/catalog/tres-1_/
352,HAT-P-50,11.762,1.288,1.35,Hartman et al. 2015,Hartman et al. 2015,http://exoplanet.eu/catalog/hat-p-50_b/
151,Kepler-16,11.762,0.754,0.333,Doyle et al. 2011,Doyle et al. 2011,http://exoplanet.eu/catalog/kepler-16_(ab)_b/
3189,WASP-113,11.771,1.409,0.475,Barros et al. 2016,Barros et al. 2016,http://exoplanet.eu/catalog/wasp-113_b/
2047,WASP-1,11.79,1.483,0.854,Maciejewski et al. 2014,Collier Cameron et al. 2007,http://exoplanet.eu/catalog/wasp-1_b/
1776,WASP-55,11.8,1.335,0.627,Southworth et al. 2015,Hellier et al. 2012,http://exoplanet.eu/catalog/wasp-55_b/
3325,WASP-138,11.81,1.09,1.22,Lam et al. 2016,Lam et al. 2016,http://exoplanet.eu/catalog/wasp-138_b/
1346,HAT-P-24,11.818,1.242,0.685,Kipping et al. 2010,Kipping et al. 2010,http://exoplanet.eu/catalog/hat-p-24_b/
157,Kepler-36,11.866,0.133,0.014,Carter et al. 2012,Carter et al. 2012,http://exoplanet.eu/catalog/kepler-36_b/
158,Kepler-36,11.866,0.328,0.025,Carter et al. 2012,Carter et al. 2012,http://exoplanet.eu/catalog/kepler-36_c/
2184,WASP-80,11.87,0.999,0.538,Triaud et al. 2015,Triaud et al. 2013,http://exoplanet.eu/catalog/wasp-80_b/
2066,WASP-25,11.88,1.22,0.58,Enoch et al. 2010,Enoch et al. 2010,http://exoplanet.eu/catalog/wasp-25_b/
1768,WASP-2,11.88,1.071,0.915,Torres et al. 2008,Collier Cameron et al. 2007,http://exoplanet.eu/catalog/wasp-2_b/
3438,KELT-16,11.898,1.415,2.75,Oberst et al. 2017,Oberst et al. 2017,http://exoplanet.eu/catalog/kelt-16_b/
2123,WASP-65,11.9,1.112,1.55,Gomez et al. 2013,Gomez et al. 2013,http://exoplanet.eu/catalog/wasp-65_b/
1411,HAT-P-29,11.9,1.107,0.778,Buchhave et al. 2011,Buchhave et al. 2011,http://exoplanet.eu/catalog/hat-p-29_b/
2051,WASP-6,11.9,1.23,0.485,Tregloan-Reed et al. 2015,Tregloan-Reed et al. 2015,http://exoplanet.eu/catalog/wasp-6_b/
2870,WASP-47,11.9,0.331,0.05286,Almenara et al. 2016,Becker et al. 2015,http://exoplanet.eu/catalog/wasp-47_d/
2871,WASP-47,11.9,0.162,0.02863,Almenara et al. 2016,Becker et al. 2015,http://exoplanet.eu/catalog/wasp-47_d/
2111,WASP-47,11.9,1.15,1.21,Almenara et al. 2016,Hellier et al. 2012,http://exoplanet.eu/catalog/wasp-47_b/
3318,HATS-33,11.911,1.23,1.192,de Val-Barro et al. 2016,de Val-Barro et al. 2016,http://exoplanet.eu/catalog/hats-33_b/
2378,Kepler-396,11.921,0.312,0.238,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-396_b/
2379,Kepler-396,11.921,0.473,0.056,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-396_c/
11,Kepler-145,11.931,0.236,0.117,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-145_b/
12,Kepler-145,11.931,0.385,0.25,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-145_c/
1231,HAT-P-5,12,1.26,1.06,Bakos et al. 2007,Bakos et al. 2007,http://exoplanet.eu/catalog/hat-p-5_b/
2114,WASP-52,12,1.27,0.46,Hebrard et al. 2013,Hebrard et al. 2013,http://exoplanet.eu/catalog/wasp-52_b/
2064,WASP-22,12,1.199,0.617,Southworth et al. 2015,Maxted et al. 2010,http://exoplanet.eu/catalog/wasp-22_b/
1774,WASP-45,12,0.992,1.002,Ciceri et al. 2015,Anderson et al. 2011,http://exoplanet.eu/catalog/wasp-45_b/
2183,WASP-78,12,1.7,0.89,Smalley et al. 2012,Smalley et al. 2012,http://exoplanet.eu/catalog/wasp-78_b/
207,Kepler-63,12.02,0.545,0.378,Sanchis-Ojeda et al. 2013,Sanchis-Ojeda et al. 2013,http://exoplanet.eu/catalog/kepler-63_b/
2068,WASP-28,12.03,1.213,0.907,Anderson et al. 2015,Petrucci et al. 2015,http://exoplanet.eu/catalog/wasp-28_b/
2388,HATS-1,12.053,1.302,1.855,Penev et al. 2013,Penev et al. 2013,http://exoplanet.eu/catalog/hats-1_b/
2193,WASP-103,12.1,1.528,1.49,Gillon et al. 2014,Gillon et al. 2014,http://exoplanet.eu/catalog/wasp-103_b/
2106,WASP-39,12.11,1.27,0.28,Faedi et al. 2011,Faedi et al. 2011,http://exoplanet.eu/catalog/wasp-39_b/
2029,Kepler-338,12.119,0.139,0.027,Hadden et al. 2014,Hadden et al. 2014,http://exoplanet.eu/catalog/kepler-338_e/
2732,Kepler-14,12.128,1.136,8.4,Buchhave et al. 2011,Buchhave et al. 2011,http://exoplanet.eu/catalog/kepler-14_b/
2205,XO-5,12.13,1.14,1.19,Smith 2015,Burke et al. 2008,http://exoplanet.eu/catalog/xo-5_b/
1238,HAT-P-15,12.16,1.072,1.946,Kovacs et al. 2010,Kovacs et al. 2010,http://exoplanet.eu/catalog/hat-p-15_b/
2436,K2-98,12.166,0.384,0.10131,Barragan et al. 2016,Barragan et al. 2016,http://exoplanet.eu/catalog/epic_211391664_b/
1558,HAT-P-42,12.168,1.28,1.044,Boisse et al. 2013,Boisse et al. 2013,http://exoplanet.eu/catalog/hat-p-42_b/
2119,WASP-60,12.18,0.86,0.514,Hebrard et al. 2013,Hebrard et al. 2013,http://exoplanet.eu/catalog/wasp-60_b/
2507,HATS-30,12.192,1.175,0.706,Espinoza et al. 2016,Espinoza et al. 2016,http://exoplanet.eu/catalog/hats-30_b/
1626,WASP-119,12.2,1.4,1.23,Maxted et al. 2016,Maxted et al. 2016,http://exoplanet.eu/catalog/wasp-119_b/
2805,KOI-94,12.205,1.005,0.334,Weiss et al. 2013,Weiss et al. 2013,http://exoplanet.eu/catalog/kepler-89_d/
238,KOI-94,12.205,0.153,0.033,Weiss et al. 2013,Weiss et al. 2013,http://exoplanet.eu/catalog/kepler-89_b/
3137,KOI-94,12.205,0.385,0.049,Weiss et al. 2013,Weiss et al. 2013,http://exoplanet.eu/catalog/kepler-89_c/
239,KOI-94,12.205,0.585,0.11,Weiss et al. 2013,Weiss et al. 2013,http://exoplanet.eu/catalog/kepler-89_e/
1552,HAT-P-36,12.262,1.264,1.832,Bakos et al. 2012,Bakos et al. 2012,http://exoplanet.eu/catalog/hat-p-36_b/
1670,Kepler-103,12.287,0.301,0.031,Marcy et al. 2014,Marcy et al. 2014,http://exoplanet.eu/catalog/Kepler-103_b/
3262,Kepler-103,12.287,0.459,0.114,Marcy et al. 2014,Marcy et al. 2014,http://exoplanet.eu/catalog/Kepler-103_c/
2122,WASP-64,12.29,1.271,1.271,Gillon et al. 2013,Gillon et al. 2013,http://exoplanet.eu/catalog/wasp-64_b/
1234,HAT-P-9,12.297,1.4,0.78,Shporer et al. 2009,Shporer et al. 2009,http://exoplanet.eu/catalog/hat-p-9_b/
3315,WASP-142,12.3,1.53,0.84,Hellier et al. 2016,Hellier et al. 2016,http://exoplanet.eu/catalog/wasp-142_b/
1628,WASP-129,12.3,0.93,1,Maxted et al. 2016,Maxted et al. 2016,http://exoplanet.eu/catalog/wasp-129_b/
2050,WASP-5,12.3,1.087,1.58,Gillon et al. 2009,Anderson et al. 2008,http://exoplanet.eu/catalog/wasp-5_b/
3437,K2-108,12.33,0.471,0.18689,Petigura et al. 2017,Petigura et al. 2017,http://exoplanet.eu/catalog/k2-108_b/
2352,GJ 3470,12.33,0.346,0.043,Biddle et al. 2014,Bonfils et al. 2012,http://exoplanet.eu/catalog/gj_3470_b/
251,Kepler-95,12.346,0.305,0.041,Marcy et al. 2014,Marcy et al. 2014,http://exoplanet.eu/catalog/kepler-95_b/
982,HATS-17,12.39,0.777,1.338,Brahm et al. 2016,Brahm et al. 2016,http://exoplanet.eu/catalog/hats-17_b/
2768,Kepler-539,12.391,0.747,0.97,Mancini et al. 2015,Morton et al. 2016,http://exoplanet.eu/catalog/kepler-539_b/
2538,Kepler-447,12.394,1.65,1.37,Lillo-Box et al. 2015,Lillo-Box et al. 2015,http://exoplanet.eu/catalog/kepler-447_b/
3312,WASP-139,12.4,0.8,0.117,Hellier et al. 2016,Hellier et al. 2016,http://exoplanet.eu/catalog/wasp-139_b/
3311,WASP-132,12.4,0.87,0.41,Hellier et al. 2016,Hellier et al. 2016,http://exoplanet.eu/catalog/wasp-132_b/
2108,WASP-43,12.4,0.93,1.78,Hellier et al. 2011,Hellier et al. 2011,http://exoplanet.eu/catalog/wasp-43_b/
3314,WASP-141,12.4,1.21,2.69,Hellier et al. 2016,Hellier et al. 2016,http://exoplanet.eu/catalog/wasp-141_b/
2002,TrES-3,12.402,1.336,1.91,Sozzetti et al. 2009,O'Donovan et al. 2007,http://exoplanet.eu/catalog/tres-3_/
1119,K2-10,12.418,0.343,0.08495,Van Eylen et al. 2016,Montet et al. 2015,http://exoplanet.eu/catalog/k2-10_b/
1555,HAT-P-39,12.422,1.571,0.599,Hartman et al. 2012,Hartman et al. 2012,http://exoplanet.eu/catalog/hat-p-39_b/
2359,GQ Lup,12.43,3,20,Neuhaeuser et al. 2008,Neuhauser et al. 2005,http://exoplanet.eu/catalog/gq_lup_b/
193,Kepler-56,12.44,0.581,0.07,Huber et al. 2013,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-56_b/
194,Kepler-56,12.44,0.874,0.57,Huber et al. 2013,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-56_c/
31,HATS-3,12.44,1.381,1.071,Bayliss et al. 2013,Bayliss et al. 2013,http://exoplanet.eu/catalog/hats-3_b/
2362,HAT-P-35,12.46,1.332,1.054,Bakos et al. 2012,Bakos et al. 2012,http://exoplanet.eu/catalog/hat-p-35_b/
2525,Kepler-432,12.465,1.145,5.41,Quinn et al. 2015,Ciceri et al. 2015,http://exoplanet.eu/catalog/kepler-432_b/
247,Kepler-91,12.495,1.367,0.81,Esteves et al. 2015,Lillo-Box et al. 2014,http://exoplanet.eu/catalog/kepler-91_b/
2049,WASP-4,12.5,1.33,1.216,Petrucci et al. 2013,Wilson et al. 2008,http://exoplanet.eu/catalog/wasp-4_b/
2120,WASP-61,12.5,1.24,2.06,Hellier et al. 2012,Hellier et al. 2012,http://exoplanet.eu/catalog/wasp-61_b/
2124,WASP-67,12.5,1.4,0.42,Hellier et al. 2012,Hellier et al. 2012,http://exoplanet.eu/catalog/wasp-67_b/
92,Kepler-20,12.51,0.272,0.04012,Buchhave et al. 2017,Gautier et al. 2011,http://exoplanet.eu/catalog/kepler-20_c/
93,Kepler-20,12.51,0.245,0.03168,Buchhave et al. 2017,Gautier et al. 2011,http://exoplanet.eu/catalog/kepler-20_d/
91,Kepler-20,12.51,0.167,0.03052,Buchhave et al. 2017,Gautier et al. 2011,http://exoplanet.eu/catalog/kepler-20_b/
1700,Kepler-406,12.52,0.128,0.02,Marcy et al. 2014,Marcy et al. 2014,http://exoplanet.eu/catalog/kepler-406_b/
2449,Kepler-406,12.52,0.076,0.009,Marcy et al. 2014,Marcy et al. 2014,http://exoplanet.eu/catalog/kepler-406_c/
598,K2-29,12.526,1.19,0.73,Santerne et al. 2016,Santerne et al. 2016,http://exoplanet.eu/catalog/k2-29_b/
1554,HAT-P-38,12.557,0.825,0.267,Sato et al. 2012,Sato et al. 2012,http://exoplanet.eu/catalog/hat-p-38_b/
3320,HATS-35,12.56,1.464,1.222,de Val-Barro et al. 2016,de Val-Barro et al. 2016,http://exoplanet.eu/catalog/hats-35_b/
1247,CoRoT-2,12.57,1.466,3.47,Gillon et al. 2010,Alonso et al. 2008,http://exoplanet.eu/catalog/corot-2_b/
2107,WASP-42,12.57,1.122,0.527,Southworth et al. 2015,Lendl et al. 2012,http://exoplanet.eu/catalog/wasp-42_b/
2061,WASP-19,12.59,1.392,1.069,Wong et al. 2016,Hebb et al. 2010,http://exoplanet.eu/catalog/wasp-19_b/
2506,HATS-29,12.612,1.251,0.653,Espinoza et al. 2016,Espinoza et al. 2016,http://exoplanet.eu/catalog/hats-29_b/
32,HATS-5,12.63,0.912,0.237,Zhou et al. 2014,Zhou et al. 2014,http://exoplanet.eu/catalog/hats-5_b/
2807,K2-27,12.64,0.4,0.09722,Petigura et al. 2017,Van Eylen et al. 2016,http://exoplanet.eu/catalog/k2-27_b/
1627,WASP-124,12.7,1.24,0.6,Maxted et al. 2016,Maxted et al. 2016,http://exoplanet.eu/catalog/wasp-124_b/
2054,WASP-10,12.7,1.08,3.15,Johnson et al. 2009,Christian et al. 2009,http://exoplanet.eu/catalog/wasp-10_b/
1695,Kepler-4,12.7,0.357,0.077,Borucki et al. 2010,Borucki et al. 2010,http://exoplanet.eu/catalog/kepler-4_b/
1772,WASP-37,12.704,1.16,1.8,Simpson et al. 2010,Simpson et al. 2010,http://exoplanet.eu/catalog/wasp-37_b/
3244,WASP-114,12.743,1.339,1.769,Barros et al. 2016,Barros et al. 2016,http://exoplanet.eu/catalog/wasp-114_b/
2432,HATS-12,12.756,1.35,2.38,Rabus et al. 2016,Rabus et al. 2016,http://exoplanet.eu/catalog/hats-12_b/
1241,HAT-P-18,12.759,0.995,0.197,Hartman et al. 2011,Hartman et al. 2011,http://exoplanet.eu/catalog/hat-p-18_b/
2504,HATS-27,12.766,1.5,0.53,Espinoza et al. 2016,Espinoza et al. 2016,http://exoplanet.eu/catalog/hats-27_b/
263,Kepler-105,12.791,0.117,0.01447,Jontof-Hutter et al. 2016,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-105_c/
3420,Qatar-5,12.82,1.107,4.32,Alsubai et al. 2017,Alsubai et al. 2017,http://exoplanet.eu/catalog/qatar-5_b/
3472,HATS-24,12.83,1.487,2.44,Bento et al. 2017,Bento et al. 2017,http://exoplanet.eu/catalog/hats-24_b/
1235,HAT-P-12,12.84,0.959,0.211,Hartman et al. 2009,Hartman et al. 2009,http://exoplanet.eu/catalog/hat-p-12_b/
1995,Qatar-1,12.843,1.143,1.294,Collins et al. 2016,Alsubai et al. 2011,http://exoplanet.eu/catalog/qatar-1_b/
3418,Qatar-3,12.88,1.096,4.31,Alsubai et al. 2017,Alsubai et al. 2017,http://exoplanet.eu/catalog/qatar-3_b/
264,Kepler-106,12.882,0.223,0.033,Marcy et al. 2014,Marcy et al. 2014,http://exoplanet.eu/catalog/Kepler-106_c/
1673,Kepler-106,12.882,0.228,0.035,Marcy et al. 2014,Marcy et al. 2014,http://exoplanet.eu/catalog/Kepler-106_e/
138,Kepler-7,12.885,1.622,0.441,Esteves et al. 2015,Latham et al. 2010,http://exoplanet.eu/catalog/kepler-7_b/
3201,Kepler-94,12.895,0.313,0.034,Marcy et al. 2014,Marcy et al. 2014,http://exoplanet.eu/catalog/kepler-94_b/
2827,WASP-83,12.9,1.04,0.3,Hellier et al. 2015,Hellier et al. 2015,http://exoplanet.eu/catalog/wasp-83_b/
1629,WASP-133,12.9,1.21,1.16,Maxted et al. 2016,Maxted et al. 2016,http://exoplanet.eu/catalog/wasp-133_b/
2110,WASP-46,12.9,1.174,1.91,Ciceri et al. 2015,Anderson et al. 2011,http://exoplanet.eu/catalog/wasp-46_b/
2109,WASP-44,12.9,1.14,0.889,Anderson et al. 2011,Anderson et al. 2011,http://exoplanet.eu/catalog/wasp-44_b/
1342,HAT-P-19,12.901,1.132,0.292,Hartman et al. 2011,Hartman et al. 2011,http://exoplanet.eu/catalog/hat-p-19_b/
2514,WASP-157,12.91,1.065,0.574,Mocnik et al. 2016,Mocnik et al. 2016,http://exoplanet.eu/catalog/wasp-157_b/
3236,Kepler-138,12.925,0.047,0.00021,Jontof-Hutter et al. 2015,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-138_b/
2731,Kepler-138,12.925,0.107,0.0062,Jontof-Hutter et al. 2015,Kipping et al. 2014,http://exoplanet.eu/catalog/kepler-138_c/
1533,Kepler-138,12.925,0.108,0.00201,Jontof-Hutter et al. 2015,Kipping et al. 2014,http://exoplanet.eu/catalog/kepler-138_d/
