pl_hostname,pl_letter,pl_discmethod,pl_disc,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_radjerr1,pl_radjerr2,pl_dens,pl_trandep,pl_instrument,pl_insol,pl_eqt,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjerr1,pl_bmassjerr2,pl_orbpererr1,pl_orbpererr2,st_optmag,ra,dec,st_dist,st_teff,st_mass,st_rad,st_plx,gaia_plx,gaia_dist,st_pm,gaia_pm,st_radv,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_age,st_acts,st_bmvj,st_jmh2,pl_instrument,pl_telescope,rowupdate,st_nplc,pl_def_refname,pl_disc_refname,pl_pelink,st_j,st_h,st_k
Kepler-171,d,Transit,2014,3,39.59551900,0.223000,,,,0.169,0.080,-0.080,,,Kepler CCD Array,,,,,,,0.00069900,-0.00069900,14.883,296.771914,41.755537,,5642.00,,0.84,,,,20.200,,,,4.57,,,-0.151,,,,0.355,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-171_d/,13.586,13.231,13.206
Kepler-172,b,Transit,2014,4,2.94030900,0.040000,,,,0.210,0.037,-0.037,,,Kepler CCD Array,,,,,,,0.00000700,-0.00000700,14.532,283.368413,41.821857,,5526.00,0.86,1.08,,,,,,,,4.38,,,0.012,,,,0.287,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-172_b/,13.170,12.883,12.793
Kepler-172,c,Transit,2014,4,6.38899600,0.068000,,,,0.255,0.047,-0.047,,,Kepler CCD Array,,,,,,,0.00002000,-0.00002000,14.532,283.368413,41.821857,,5526.00,0.86,1.08,,,,,,,,4.38,,,0.012,,,,0.287,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-172_c/,13.170,12.883,12.793
Kepler-172,e,Transit,2014,4,35.11873600,0.211000,,,,0.246,0.050,-0.050,,,Kepler CCD Array,,,,,,,0.00025300,-0.00025300,14.532,283.368413,41.821857,,5526.00,0.86,1.08,,,,,,,,4.38,,,0.012,,,,0.287,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-172_e/,13.170,12.883,12.793
Kepler-173,b,Transit,2014,2,4.26374200,0.048000,,,,0.115,0.057,-0.057,,,Kepler CCD Array,,,,,,,0.00002100,-0.00002100,14.209,294.646695,41.884106,,6031.00,0.78,0.95,,,,,,,,4.40,,,-0.786,,,,0.318,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-173_b/,13.081,12.763,12.668
Kepler-173,c,Transit,2014,2,8.00577700,0.074000,,,,0.217,0.108,-0.108,,,Kepler CCD Array,,,,,,,0.00001500,-0.00001500,14.209,294.646695,41.884106,,6031.00,0.78,0.95,,,,,,,,4.40,,,-0.786,,,,0.318,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-173_c/,13.081,12.763,12.668
Kepler-174,c,Transit,2014,3,44.00052900,0.214000,,,,0.133,0.008,-0.008,,,Kepler CCD Array,,,,,,,0.00026500,-0.00026500,14.287,287.439194,43.832092,,4880.00,,0.62,,,,,,,,4.68,,,-0.556,,,,0.498,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-174_c/,12.791,12.293,12.184
Kepler-174,d,Transit,2014,3,247.35373000,0.677000,,,,0.195,0.012,-0.012,,,Kepler CCD Array,,,,,,,0.00200100,-0.00200100,14.287,287.439194,43.832092,,4880.00,,0.62,,,,,,,,4.68,,,-0.556,,,,0.498,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-174_d/,12.791,12.293,12.184
Kepler-175,b,Transit,2014,2,11.90351500,0.105000,,,,0.228,0.114,-0.114,,,Kepler CCD Array,,,,,,,0.00004600,-0.00004600,14.939,289.553283,43.876183,,6064.00,1.04,1.01,,,,,,,,4.47,,,-0.023,,,,0.286,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-175_b/,13.773,13.487,13.496
Kepler-176,b,Transit,2014,4,5.43307400,0.058000,,,,0.128,0.065,-0.065,,,Kepler CCD Array,,,,,,,0.00002400,-0.00002400,14.550,294.667956,43.853259,,5232.00,,0.89,,,,20.000,,,,4.47,,,0.072,,,,0.411,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-176_b/,13.097,12.686,12.567
