OAO,,,,,,,,,,,,,,,
EPIC,RA,DEC,T0 (-2454900),T0,Period [d],MidpointCalendar(UST),Duration (hour),MidpointJD,MidpointAirmass,IngressCalendar(JST),MidpointCalendar(JST),EgressCalendar(JST),Notes,Kepmag,depth
211945201,9:06:18,+19:24:08.11,2258.822343,2457158.822,19.488872,,3.6245738,2458152.754,2.4,2/3/2018 4:17:16,2/3/2018 6:06:00,2/3/2018 7:54:44,,10.115,0.0018517
212099230,8:32:18,+22:00:21.64,2241.960616,2457141.961,7.1125241,,2.79,2458130.602,1.01,1/12/2018 2:26:00,1/12/2018 2:26:00,1/12/2018 3:49:42,,10.513,0.0011
,,,,,,,,2458137.714,1.45,1/19/2018 5:08:00,1/19/2018 5:08:00,1/19/2018 6:31:42,,,
212110007,08:53:14.63,22:13:08.32,2244.683928,2457144.684,16.7094974,,1.71,2458130.544,1.07,1/12/2018 0:11:42,1/12/2018 1:03:00,1/12/2018 1:54:18,,14.245,0.0751
212164470,08:39:15.27,23:21:26.93,2244.85278,2457144.853,7.8112855,,2.72,2458152.509,1.02,2/2/2018 22:50:24,2/3/2018 0:12:00,2/3/2018 1:33:36,,12.704,0.0005
,,,,,,,,2458199.377,1.02,3/21/2018 19:40:24,3/21/2018 21:02:00,3/21/2018 22:23:36,,,
212164470,08:39:15.27,23:21:26.93,2240.487721,2457140.488,1.7428937,,2.1341569,2458130.452,1.46,1/11/2018 21:45:59,1/11/2018 22:50:00,1/11/2018 23:54:01,,12.704,0.0001578
,,,,,,,,2458135.68,1.18,1/17/2018 3:14:59,1/17/2018 4:19:00,1/17/2018 5:23:01,,,
,,,,,,,,2458137.423,1.55,1/18/2018 21:04:59,1/18/2018 22:09:00,1/18/2018 23:13:01,,,
,,,,,,,,2458149.623,1.11,1/31/2018 1:52:59,1/31/2018 2:57:00,1/31/2018 4:01:01,,,
,,,,,,,,2458151.366,1.78,2/1/2018 19:42:59,2/1/2018 20:47:00,2/1/2018 21:51:01,,,
,,,,,,,,2458170.538,1.05,2/20/2018 23:49:59,2/21/2018 0:54:00,2/21/2018 1:58:01,,,
,,,,,,,,2458212.368,1,4/3/2018 19:44:59,4/3/2018 20:49:00,4/3/2018 21:53:01,,,
212154564,08:54:33.89,23:07:58.41,2242.180798,2457142.181,6.4134976,,1.619729,2458168.341,1.65,2/18/2018 19:21:24,2/18/2018 20:10:00,2/18/2018 20:58:36,,15.105,0.0071
,,,,,,,,2458232.476,1.48,4/23/2018 22:35:24,4/23/2018 23:24:00,4/24/2018 0:12:36,,,
211733267,08:40:02.26,16:22:20.66,2244.931055,2457144.931,8.6583916,,1.1114393,2458140.646,1.13,1/22/2018 2:56:39,1/22/2018 3:30:00,1/22/2018 4:03:21,,12.15,0.0079
,,,,,,,,2458166.621,1.35,2/17/2018 2:20:39,2/17/2018 2:54:00,2/17/2018 3:27:21,,,
211408138,08:51:17.99,11:45:54.2,2260.053301,2457160.053,10.3389474,,6.1296382,2458152.592,1.09,2/2/2018 23:08:07,2/3/2018 2:12:00,2/3/2018 5:15:53,,12.74,0.056
212011230,09:04:57.84,20:26:26.94,,,12.375,,,,,,,,,,
