511.0000 548.0000 1
510.0000 547.0000 1
510.0000 547.0000 1
509.0000 547.0000 1
509.0000 542.0000 1
508.0000 541.0000 1
508.0000 541.0000 1
507.0000 544.0000 1
506.0000 545.0000 1
506.0000 545.0000 1
505.0000 544.0000 1
505.0000 541.0000 1
504.0000 542.0000 1
504.0000 541.0000 1
504.0000 541.0000 1
503.0000 541.0000 1
502.0000 542.0000 1
502.0000 542.0000 1
501.0000 541.0000 1
501.0000 541.0000 1
500.0000 541.0000 1
500.0000 541.0000 1
499.0000 540.0000 1
499.0000 540.0000 1
498.0000 541.0000 1
497.0000 540.0000 1
497.0000 540.0000 1
496.0000 541.0000 1
496.0000 538.0000 1
495.0000 539.0000 1
495.0000 539.0000 1
496.0000 537.0000 1
495.0000 536.0000 1
495.0000 536.0000 1
494.0000 536.0000 1
494.0000 536.0000 1
493.0000 535.0000 1
493.0000 535.0000 1
492.0000 535.0000 1
492.0000 534.0000 1
492.0000 534.0000 1
491.0000 534.0000 1
491.0000 533.0000 1
491.0000 533.0000 1
490.0000 533.0000 1
490.0000 532.0000 1
488.0000 533.0000 1
489.0000 531.0000 1
489.0000 531.0000 1
488.0000 531.0000 1
